galaxy,baseline_stable,row_count,rdisk_kpc,baseline_chi2,baseline_chi2_per_point,v200_km_s,concentration,plummer_d_kpc,plummer_chi2,plummer_delta_chi2,plummer_reduction_pct,gaussian_chi2,gaussian_delta_chi2,gaussian_reduction_pct,top_hat_chi2,top_hat_delta_chi2,top_hat_reduction_pct,source_member_sha256
UGC00731,True,12,2.3,3.395909248261954,0.28299243735516283,57.149977424316816,9.523013936515358,0.2875,2.7819925082842736,-0.6139167399776806,18.078125623995597,2.5443659155640703,-0.8515433326978838,25.075562108548944,2.69580309476223,-0.7001061534997244,20.61616204431973,f6f74728e55906f5716e1b529a0d1ead34a2ebbd8e445b9777a585d9aa574e7e
NGC5585,True,24,1.53,157.83832157292792,6.5765967322053305,211.68755938623616,2.1790319218336736,0.19125,160.02776047386598,2.1894389009380575,-1.3871402579040002,163.9346657450351,6.096344172107166,-3.862397997745053,163.45804933044445,5.619727757516529,-3.560433044088079,280f92beb5bd2d10e37facf2857159e805c5d0aca577323b9aca77aaa3ce602c
F574-1,True,14,4.46,19.724808424496793,1.4089148874640567,90.2611458869735,7.7724347223044745,0.5575,12.339377791302478,-7.385430633194314,37.44234404843264,11.376765309020549,-8.348043115476244,42.32255612231232,11.641162811335144,-8.083645613161648,40.98212484093048,b97aa47c438695c6487ca261a81463b1adbd3a40302fe97ba0d3c4c90c465508
UGC05721,True,23,0.38,20.237618235001722,0.8798964450000749,48.479233649021666,26.44995566027777,0.0475,17.934211988293384,-2.303406246708338,11.381805012629945,18.78383815266623,-1.4537800823354914,7.183553249468478,19.07775585257325,-1.1598623824284715,5.731219795531303,6df621e9507398ef8bc338b62cb4190bab52faaecebb84d7fc82add7b5fcd85b
UGC06446,True,17,1.49,3.2203463665740464,0.18943213921023802,57.74687725614594,14.601037368768727,0.18625,2.910740640643722,-0.3096057259303242,9.614050499160967,2.906145849887374,-0.3142005166866726,9.756730516566567,2.9744867472804426,-0.24585961929360378,7.634570673686901,e88ac27a7699ac4380a750a0a71bdba1c90e4f21052be81ef8564c48b5312f49
DDO064,False,14,0.69,6.649968453835618,0.4749977467025442,300.0000000000001,1.2805056492413085,,,,,,,,,,,ac67504248b884a19d0b1ded288b8551741ea0a1288eb6488cd5d56416d441f9
UGC12632,True,15,2.42,4.42792450141214,0.29519496676080936,56.57117676234867,9.099496969924289,0.3025,3.5946319280627907,-0.8332925733493495,18.819033004821975,3.827120523209855,-0.6008039782022854,13.568523537623074,3.9579892990143044,-0.4699352023978358,10.612990403245707,627ad9eb26a537835b90491b40a2d7656433da0318f1d6a2ec24398fd5163073
